State;Total;Violent;Property;MurderAndManslaughter;Rape;Robbery;AggravateAssault;Burglary;LarcenyTheft;MotorVehicleTheft;Arson;OtherAssaults;ForgeryAndCounterfeiting;Fraud;Embezzlement;StolenProperty;Vandalism;CarryWeapons;Prostitution;SexOffenses;DrugAbuseViolations;Gambling;OffensesAgainstFamilyAndChildren;DrivingUnderTheInfluence;LiquorLaws;Drunkenness;DisorderlyConduct;Vagrancy;AllOtherOffenses;Suspicion;CurfewLawViolations;NumberOfAgencies;EstimatedPopulation
NORTH CAROLINA;425700;18611;60533;553;598;3671;13789;15196;43788;1180;369;54262;2064;17435;1473;4543;7407;6727;1145;1504;33170;81;6577;50907;9634;0;13958;279;135390;0;0;292;7886978
NORTH DAKOTA;24900;428;2820;7;39;31;351;232;2449;129;10;1846;77;613;35;143;475;118;5;82;1938;0;113;3945;5072;196;2167;1;4577;0;249;81;605751
OHIO;272655;7424;38592;183;511;2790;3940;6725;30710;935;222;36172;1509;2902;37;3436;4516;3228;1724;799;31465;45;4172;36259;11723;3602;19318;39;64347;79;1267;412;8539835
OKLAHOMA;153958;5660;18604;161;243;761;4495;3017;14892;442;253;9387;795;2278;487;2233;1431;1922;247;660;19714;46;895;17446;2551;21859;2846;1111;41812;0;1974;269;3706617
OREGON;123440;4013;23706;82;222;971;2738;2343;19943;1165;255;12414;745;1586;37;339;4438;1491;296;1102;15600;1;468;13600;14350;0;9421;5;18324;0;1504;128;3337173
PENNSYLVANIA;452862;24263;58803;556;975;6896;15836;9389;46175;2595;644;48237;2703;7404;400;2792;10642;4293;1958;2681;55858;139;1206;51402;22405;24949;58285;1338;53938;0;19166;1197;12300834
RHODE ISLAND;35893;946;3785;9;61;270;606;834;2748;151;52;4815;143;585;110;393;1305;408;103;107;3782;0;101;2574;1162;17;3376;0;12177;0;4;47;1040938
SOUTH CAROLINA;195496;8819;26256;239;305;1486;6789;4484;20805;838;129;21652;1676;7358;403;2063;3386;2406;624;562;30435;321;1136;19245;9613;11706;15479;961;31280;0;115;404;4393409
SOUTH DAKOTA;26717;548;3419;11;47;39;451;353;2942;112;12;3469;102;598;32;94;537;162;22;57;2903;0;254;4883;5066;68;1765;171;2371;0;196;95;632552
TENNESSEE;327693;14979;40437;253;335;2296;12095;6384;32097;1737;219;29574;2478;6438;719;775;4306;3109;2387;737;37512;408;2359;20589;6102;17104;9884;35;125823;0;1938;397;4932498
TEXAS;1120190;33072;139877;767;1851;7612;22842;19493;115161;4656;567;112198;6958;13033;522;908;13205;10664;7554;4301;136966;624;5414;93533;26607;130295;37961;2184;335855;0;8459;1007;24862112
UTAH;125124;2070;20683;43;238;444;1345;1406;18872;325;80;11330;953;1091;20;774;4300;1260;414;848;10728;1;1562;7170;10063;4337;5224;212;40909;0;1175;116;2669959
VERMONT;11458;469;1612;6;77;19;367;306;1208;80;18;1346;50;225;37;105;339;9;5;14;1156;0;293;2461;428;3;553;0;2353;0;0;67;545701
VIRGINIA;353473;7272;36689;293;366;2005;4608;4486;30893;1045;265;42988;2268;7425;1646;999;4719;3777;689;1217;33666;78;2072;28680;13618;34766;5701;233;122233;0;2737;329;7864147
WASHINGTON;217761;7627;32414;108;583;1898;5038;5059;25895;1237;223;26736;1238;954;85;2489;6292;2541;836;876;20644;7;562;34098;8434;10;4835;54;66995;0;34;216;5269545
WEST VIRGINIA;46370;1889;5960;26;60;178;1625;875;4839;193;53;6347;434;802;139;345;822;310;114;125;6235;10;87;4922;1711;3388;1098;7;11561;0;64;154;1488466
WISCONSIN;309381;7253;33965;139;626;1777;4711;3949;28916;958;142;16488;1027;3817;164;1483;8168;3318;358;2311;22651;165;2215;29549;28373;5;49517;2977;91312;2;4263;320;5037442
WYOMING;35170;489;2871;6;38;23;422;350;2418;84;19;3168;74;200;4;68;748;99;7;148;3103;0;194;5810;3760;2374;1313;27;10269;15;429;64;559126
